model,path,accuracy_at_1,accuracy_at_5,mrr,avg_similarity,not_found,total_queries,avg_query_time,dimension
deberta-v3-conservative/model-0_0950,models\deberta-v3-conservative\model-0_0950,0.08333333333333333,0.22916666666666666,0.1361111111111111,89.18074,37,48,0.01238537828127543,768
bioclinicalbert/model-0_0340,models\bioclinicalbert\model-0_0340,0.0625,0.25,0.11597222222222221,61.757507,36,48,0.0053603847821553545,768
biobert-v1.2/model-0_2813,models\biobert-v1.2\model-0_2813,0.0625,0.20833333333333334,0.10659722222222222,84.0446,38,48,0.00531149407227834,768
electra-agressive/model-0_0000,models\electra-agressive\model-0_0000,0.0625,0.1875,0.10312500000000001,100.00001,39,48,0.006301452716191609,768
deberta-v3-conservative/model-0_0041,models\deberta-v3-conservative\model-0_0041,0.0625,0.1875,0.109375,76.23707,39,48,0.011883820096651712,768
biomedical-agressive/model-0_0000,models\biomedical-agressive\model-0_0000,0.0625,0.08333333333333333,0.07291666666666667,100.000015,44,48,0.005985250075658162,768
deberta-v3-conservative/model-0_0213,models\deberta-v3-conservative\model-0_0213,0.0625,0.1875,0.10069444444444443,82.22627,39,48,0.011995052297910055,768
deberta-v3-conservative/model-0_0000,models\deberta-v3-conservative\model-0_0000,0.0625,0.20833333333333334,0.11701388888888888,79.70285,38,48,0.01211094856262207,768
deberta-v3-conservative/model-0_0001,models\deberta-v3-conservative\model-0_0001,0.0625,0.20833333333333334,0.1267361111111111,79.58695,38,48,0.01248253881931305,768
deberta-v3-conservative/model-0_0057,models\deberta-v3-conservative\model-0_0057,0.0625,0.20833333333333334,0.11805555555555557,76.22081,38,48,0.01190511385599772,768
deberta-v3-conservative/model-0_0095,models\deberta-v3-conservative\model-0_0095,0.0625,0.22916666666666666,0.12222222222222222,80.94355,37,48,0.01214769979317983,768
deberta-v3-conservative/model-0_0000_1,models\deberta-v3-conservative\model-0_0000_1,0.0625,0.20833333333333334,0.11805555555555557,79.16063,38,48,0.011908173561096191,768
paraphrase-agressive/model-0_0000,models\paraphrase-agressive\model-0_0000,0.0625,0.1875,0.10381944444444445,100.00001,39,48,0.005257338285446167,384
deberta-v3-conservative/model-0_0123,models\deberta-v3-conservative\model-0_0123,0.0625,0.1875,0.10590277777777778,79.36734,39,48,0.013003751635551453,768
deberta-v3-conservative/model-0_0363,models\deberta-v3-conservative\model-0_0363,0.0625,0.22916666666666666,0.11770833333333335,81.97344,37,48,0.01170081396897634,768
bioclinicalbert/model-0_1698,models\bioclinicalbert\model-0_1698,0.041666666666666664,0.3333333333333333,0.12048611111111111,72.128204,32,48,0.006937503814697266,768
bioclinicalbert/model-0_2932,models\bioclinicalbert\model-0_2932,0.041666666666666664,0.22916666666666666,0.10104166666666665,80.82514,37,48,0.005340099334716797,768
deberta-v3-conservative/model-0_0060,models\deberta-v3-conservative\model-0_0060,0.041666666666666664,0.20833333333333334,0.10590277777777778,77.992966,38,48,0.012022823095321655,768
electra-agressive/model-0_1317,models\electra-agressive\model-0_1317,0.041666666666666664,0.20833333333333334,0.09756944444444444,79.88027,38,48,0.007887636621793112,768
bluebert/model-0_2849,models\bluebert\model-0_2849,0.041666666666666664,0.16666666666666666,0.08680555555555557,79.00336,40,48,0.005572562416394551,768
